"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;TELECOM ITALIA;TIM;2421421000111;DF;Autorização;RURAL;33
2022;12;TELECOM ITALIA;TIM;2421421000111;PR;Autorização;RURAL;1
2022;12;OUTROS;CDI TELECOM LTDA - EPP;8584873000109;SC;Autorização;RURAL;4
2022;12;TELECOM ITALIA;TIM;2421421000111;RS;Autorização;RURAL;3
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;4
2022;12;OUTROS;PROCESS TELECOMUNICACOES LTDA.;19128532000137;SP;Autorização;RURAL;8
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;70
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;6
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;4
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;10
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;1
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;1
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;10
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;4
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;5
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;1
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;10
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;1
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;80
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;24
2022;12;OUTROS;COPREL TELECOM LTDA;12388471000106;RS;Autorização;RURAL;255
2022;12;OUTROS;Companhia Itabirana de Telecomunicacoes Ltda;5684180000191;MG;Autorização;RURAL;106
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;1
2022;12;OUTROS;Companhia Itabirana de Telecomunicacoes Ltda;5684180000191;MG;Autorização;RURAL;279
2022;12;OUTROS;"2N5 TELECOMUNICAÇÕES LTDA";31860756000134;SP;Autorização;RURAL;4
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;1
2022;12;OUTROS;"2N5 TELECOMUNICAÇÕES LTDA";31860756000134;SP;Autorização;RURAL;91
2022;12;TELECOM ITALIA;TIM;2421421000111;PE;Autorização;RURAL;2
2022;12;OUTROS;Companhia Itabirana de Telecomunicacoes Ltda;5684180000191;MG;Autorização;RURAL;1524
2022;12;OUTROS;CDI TELECOM LTDA - EPP;8584873000109;SC;Autorização;RURAL;37
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;2
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;4
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;114
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;381
2022;12;OUTROS;VMX DIGITAL DO BRASIL LTDA;7685452000101;SP;Autorização;RURAL;2
2022;12;OUTROS;VMX DIGITAL DO BRASIL LTDA;7685452000101;SP;Autorização;RURAL;4
2022;12;OUTROS;VMX DIGITAL DO BRASIL LTDA;7685452000101;SP;Autorização;RURAL;3
2022;12;OUTROS;ZILIONET TELECOMUNICACOES LTDA;10220038000123;RS;Autorização;RURAL;132
2022;12;OUTROS;ZILIONET TELECOMUNICACOES LTDA;10220038000123;RS;Autorização;RURAL;29
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;1486
